video id,start,end,action label
9,70,75,bounce
9,75,115,slide_step
9,115,194,step
10,0,25,bounce
10,25,35,step
10,35,56,bounce
10,56,62,half_squat
10,62,70,bounce
10,70,80,twist
10,80,85,bounce
10,85,110,step
10,110,123,bounce
10,123,130,step
10,130,145,cabbage_patch
10,145,165,bounce
10,165,180,hands_up
10,180,185,bounce
10,185,200,slide_step
10,200,227,bounce
11,0,100,bounce
11,100,135,step
11,135,225,bounce
11,225,250,half_squat
11,250,280,bounce
11,280,320,twist
11,320,340,bounce
11,340,445,step
11,445,495,bounce
11,495,520,step
11,520,575,cabbage_patch
11,575,660,bounce
11,660,720,hands_up
11,720,735,bounce
11,735,810,slide_step
11,810,914,step
12,0,25,bounce
12,25,35,step
12,35,55,bounce
12,55,62,half_squat
12,62,70,bounce
12,70,80,twist
12,80,85,bounce
12,85,110,step
12,110,125,bounce
12,125,130,step
12,130,145,cabbage_patch
12,145,165,bounce
12,165,180,hands_up
12,180,185,bounce
12,185,200,slide_step
12,200,227,step
13,0,100,bounce
13,100,135,step
13,135,225,bounce
13,225,250,half_squat
13,250,280,bounce
13,280,320,twist
13,320,340,bounce
13,340,445,step
13,445,495,bounce
13,495,520,step
13,520,575,cabbage_patch
13,575,660,bounce
13,660,720,hands_up
13,720,735,bounce
13,735,810,slide_step
13,810,914,step
14,0,25,bounce
14,25,35,step
14,35,55,bounce
14,55,62,half_squat
14,62,70,bounce
14,70,80,twist
14,80,85,bounce
14,85,110,step
14,110,125,bounce
14,125,130,step
14,130,145,cabbage_patch
14,145,165,bounce
14,165,180,hands_up
14,180,185,bounce
14,185,200,slide_step
14,200,227,step
15,0,100,bounce
15,100,135,step
15,135,225,bounce
15,225,250,half_squat
15,250,280,bounce
15,280,320,twist
15,320,340,bounce
15,340,445,step
15,445,495,bounce
15,495,520,step
15,520,575,cabbage_patch
15,575,660,bounce
15,660,720,hands_up
15,720,735,bounce
15,735,810,slide_step
15,810,914,step
16,0,25,bounce
16,25,35,step
16,35,45,bounce
16,45,57,bounce
16,57,62,half_squat
16,62,70,bounce
16,70,80,twist
16,80,85,bounce
16,85,110,step
16,110,125,bounce
16,125,133,cabbage_patch
16,133,150,bounce
16,150,170,hands_up
16,170,175,bounce
16,175,185,slide_step
17,0,100,bounce
17,100,140,step
17,140,180,bounce
17,180,228,bounce
17,228,248,half_squat
17,248,280,bounce
17,280,320,twist
17,320,340,bounce
17,340,440,step
17,440,500,bounce
17,500,532,cabbage_patch
17,532,600,bounce
17,600,680,hands_up
17,680,698,bounce
17,698,740,slide_step
18,0,25,bounce
18,25,35,step
18,35,56,bounce
18,56,62,half_squat
18,62,70,bounce
18,70,80,twist
18,80,85,bounce
18,85,107,step
18,107,117,bounce
18,117,125,step
18,125,140,cabbage_patch
18,140,160,bounce
18,160,175,hands_up
18,175,180,bounce
18,180,200,slide_step
18,200,224,step
19,0,100,bounce
19,100,140,step
19,140,324,bounce
19,248,280,bounce
19,280,320,twist
19,320,340,bounce
19,324,248,half_squat
19,340,428,step
19,428,468,bounce
19,468,500,step
19,500,560,cabbage_patch
19,560,640,bounce
19,640,700,hands_up
19,700,720,bounce
19,720,800,slide_step
19,800,896,step
20,0,52,bounce
20,52,68,step
20,68,114,bounce
20,114,125,half_squat
20,125,133,bounce
20,133,210,twist
20,210,220,bounce
20,220,263,step
20,263,283,bounce
20,283,300,step
20,300,328,cabbage_patch
20,328,368,bounce
20,368,417,hands_up
21,0,10,half_squat
21,10,25,bounce
21,25,45,twist
21,45,55,bounce
21,55,118,step
21,118,132,bounce
21,132,140,step
21,140,170,cabbage_patch
21,170,205,bounce
21,205,240,hands_up
21,240,252,bounce
21,252,273,slide_step
22,0,52,bounce
22,52,68,step
22,68,115,bounce
22,115,175,half_squat
22,175,192,bounce
22,192,210,twist
22,210,220,bounce
22,220,270,step
22,270,295,bounce
23,0,33,step
23,33,60,bounce
23,60,75,step
23,75,130,cabbage_patch
23,130,145,step
23,145,170,bounce
23,170,240,step
23,240,266,bounce
24,0,28,bounce
24,28,60,hands_up
24,60,70,bounce
24,70,102,slide_step
24,102,175,step
24,175,242,slide_step
25,0,95,twist
25,95,105,bounce
25,105,160,step
25,160,182,bounce
25,182,192,step
25,192,239,cabbage_patch
26,0,75,slide_step
26,75,168,step
26,168,180,slide_step
27,0,68,bounce
27,68,114,step
27,114,129,half_squat
27,129,148,bounce
27,148,164,twist
27,164,184,bounce
27,184,204,step
28,0,32,step
29,0,14,slide_step
30,0,40,slide_step
31,0,43,bounce
32,0,23,twist
33,0,10,step
33,0,18,bounce
33,18,42,hands_up
33,42,49,bounce
33,49,83,slide_step
33,83,133,step
34,0,34,step
34,34,65,bounce
34,65,80,step
34,80,108,cabbage_patch
34,108,150,bounce
34,150,178,hands_up
34,178,188,bounce
34,188,205,slide_step
34,205,255,step
35,0,48,bounce
35,48,62,step
35,62,108,bounce
35,108,130,half_squat
35,130,150,bounce
35,150,165,twist
35,165,175,bounce
36,0,60,bounce
36,60,80,step
36,80,172,bounce
36,172,182,half_squat
36,182,200,bounce
36,200,218,twist
36,218,228,bounce
36,228,281,step
36,281,305,bounce
36,305,325,cabbage_patch
36,325,335,bounce
37,0,55,bounce
37,55,115,hands_up
37,115,135,bounce
37,135,170,slide_step
37,170,194,step
38,0,30,twist
38,30,40,bounce
38,40,90,step
38,90,118,bounce
38,118,133,step
38,134,192,cabbage_patch
38,193,204,half_squat
38,205,244,bounce
38,244,303,hands_up
38,304,352,step
38,353,360,bounce
38,360,392,slide_step
38,392,489,step
39,0,30,twist
39,31,59,step
39,60,70,bounce
39,70,120,step
39,120,148,bounce
39,148,214,step
39,215,242,cabbage_patch
39,242,281,bounce
39,281,340,hands_up
39,341,361,twist
39,362,369,bounce
39,369,401,slide_step
39,401,447,step
39,448,494,bounce
40,0,30,twist
40,31,57,bounce
40,57,107,step
40,107,135,bounce
40,135,150,step
40,150,177,cabbage_patch
40,177,216,bounce
40,217,247,cabbage_patch
40,248,307,hands_up
40,307,314,bounce
40,314,346,slide_step
40,347,358,half_squat
40,359,405,step
41,0,30,twist
41,30,40,bounce
41,40,90,step
41,90,118,bounce
41,118,133,step
41,134,144,bounce
41,145,172,cabbage_patch
41,172,211,bounce
41,211,270,hands_up
41,271,291,slide_step
41,292,299,bounce
41,299,331,slide_step
41,331,390,step
42,0,30,twist
42,31,77,step
42,78,88,bounce
42,88,138,step
42,138,166,bounce
42,166,210,step
42,211,238,cabbage_patch
42,238,277,bounce
42,278,308,cabbage_patch
42,309,368,hands_up
42,368,375,bounce
42,376,419,step
42,420,452,slide_step
42,452,498,step
43,0,30,twist
43,31,77,step
43,78,88,bounce
43,88,138,step
43,138,166,bounce
43,167,183,cabbage_patch
43,184,199,step
43,199,226,cabbage_patch
43,226,265,bounce
43,265,324,hands_up
43,324,331,bounce
43,331,363,slide_step
43,364,419,twist
43,420,466,step
44,0,30,twist
44,30,40,bounce
44,40,90,step
44,90,118,bounce
44,119,151,hands_up
44,152,167,step
44,167,194,cabbage_patch
44,194,233,bounce
44,233,292,hands_up
44,293,328,twist
44,329,336,bounce
44,336,368,slide_step
44,368,414,step
44,415,452,slide_step
45,0,30,twist
45,31,47,bounce
45,48,88,slide_step
45,89,139,step
45,139,167,bounce
45,168,200,hands_up
45,201,216,step
45,216,243,cabbage_patch
45,244,322,step
45,323,362,bounce
45,362,421,hands_up
45,421,428,bounce
45,428,460,slide_step
45,460,506,step
46,0,30,twist
46,30,40,bounce
46,40,90,step
46,90,118,bounce
46,118,133,step
46,133,160,cabbage_patch
46,161,171,twist
46,172,211,bounce
46,212,227,cabbage_patch
46,228,287,hands_up
46,287,294,bounce
46,294,326,slide_step
46,327,384,step
47,0,30,twist
47,30,40,bounce
47,40,90,step
47,91,170,bounce
47,170,185,step
47,185,212,cabbage_patch
47,213,273,bounce
47,273,332,hands_up
47,333,358,half_squat
47,359,366,bounce
47,366,398,slide_step
47,399,484,bounce
47,485,531,step
48,0,30,twist
48,30,40,bounce
48,40,90,step
48,91,135,bounce
48,135,150,step
48,151,194,cabbage_patch
48,194,233,bounce
48,233,292,hands_up
48,292,299,bounce
48,299,331,slide_step
48,332,384,step
48,385,390,bounce
49,0,30,twist
49,30,40,bounce
49,41,127,step
49,128,257,bounce
49,257,272,step
49,273,293,bounce
49,294,321,cabbage_patch
49,321,360,bounce
49,360,419,hands_up
49,419,426,bounce
49,426,458,slide_step
49,458,504,step
49,505,530,half_squat
50,0,30,twist
50,30,40,bounce
50,40,90,step
50,90,118,bounce
50,119,129,twist
50,130,145,step
50,145,172,cabbage_patch
50,172,211,bounce
50,212,227,cabbage_patch
50,228,287,hands_up
50,288,295,half_squat
50,296,303,bounce
50,303,335,slide_step
50,336,341,bounce
50,342,388,step
51,0,30,twist
51,30,40,bounce
51,40,90,step
51,90,118,bounce
51,118,133,step
51,134,234,bounce
51,235,262,cabbage_patch
51,263,338,slide_step
51,339,378,bounce
51,378,437,hands_up
51,437,444,bounce
51,444,476,slide_step
51,476,628,step
52,0,30,twist
52,30,40,bounce
52,40,90,step
52,90,118,bounce
52,118,133,step
52,133,160,cabbage_patch
52,160,199,bounce
52,199,258,hands_up
52,259,282,bounce
52,282,314,slide_step
52,315,372,step
52,373,383,bounce
53,0,30,twist
53,30,40,bounce
53,40,90,step
53,90,118,bounce
53,118,133,step
53,133,160,cabbage_patch
53,161,201,twist
53,202,241,bounce
53,241,300,hands_up
53,300,307,bounce
53,307,339,slide_step
53,340,360,bounce
53,361,407,step
54,0,30,twist
54,30,40,bounce
54,40,101,step
54,102,130,bounce
54,130,145,step
54,146,156,twist
54,157,184,cabbage_patch
54,184,223,bounce
54,223,282,hands_up
54,283,298,cabbage_patch
54,299,306,bounce
54,306,338,slide_step
54,338,384,step
55,0,30,twist
55,31,58,bounce
55,58,108,step
55,108,136,bounce
55,136,151,step
55,151,178,cabbage_patch
55,178,217,bounce
55,217,276,hands_up
55,277,385,half_squat
55,386,393,bounce
55,393,425,slide_step
55,426,486,hands_up
55,487,533,step
56,0,30,twist
56,31,52,bounce
56,52,146,step
56,147,175,bounce
56,175,190,step
56,190,217,cabbage_patch
56,217,256,bounce
56,257,285,cabbage_patch
56,286,345,hands_up
56,345,352,bounce
56,352,384,slide_step
56,384,448,step
57,0,30,twist
57,30,40,bounce
57,40,90,step
57,90,118,bounce
57,118,133,step
57,133,160,cabbage_patch
57,161,181,twist
57,182,221,bounce
57,221,280,hands_up
57,281,324,bounce
57,325,360,hands_up
57,361,393,slide_step
57,393,448,step
58,0,30,twist
58,30,40,bounce
58,40,107,step
58,108,136,bounce
58,136,151,step
58,151,178,cabbage_patch
58,178,217,bounce
58,217,276,hands_up
58,277,295,bounce
58,295,327,slide_step
58,327,373,step
59,0,30,twist
59,30,40,bounce
59,41,125,step
59,125,153,bounce
59,154,209,cabbage_patch
59,210,225,step
59,225,252,cabbage_patch
59,252,291,bounce
59,292,307,step
59,308,367,hands_up
59,367,374,bounce
59,374,406,slide_step
59,406,523,step
60,0,30,twist
60,30,40,bounce
60,40,90,step
60,90,118,bounce
60,118,133,step
60,134,144,bounce
60,145,172,cabbage_patch
60,172,211,bounce
60,212,244,slide_step
60,245,304,hands_up
60,304,311,bounce
60,311,343,slide_step
60,344,372,bounce
60,373,419,step
60,420,452,hands_up
61,0,30,twist
61,31,64,bounce
61,64,114,step
61,114,142,bounce
61,143,169,step
61,169,196,cabbage_patch
61,196,235,bounce
61,235,294,hands_up
61,294,301,bounce
61,301,333,slide_step
61,334,436,step
62,0,30,twist
62,30,40,bounce
62,41,53,slide_step
62,54,104,step
62,104,132,bounce
62,132,241,step
62,242,269,cabbage_patch
62,269,308,bounce
62,308,367,hands_up
62,367,374,bounce
62,374,406,slide_step
62,406,452,step
62,453,528,slide_step
63,0,30,twist
63,30,40,bounce
63,40,90,step
63,90,118,bounce
63,118,133,step
63,134,149,half_squat
63,150,177,cabbage_patch
63,178,197,step
63,198,237,bounce
63,237,296,hands_up
63,296,303,bounce
63,303,335,slide_step
63,336,352,twist
63,353,399,step
64,0,30,twist
64,30,40,bounce
64,41,123,step
64,123,151,bounce
64,151,166,step
64,166,193,cabbage_patch
64,193,232,bounce
64,232,291,hands_up
64,291,298,bounce
64,298,330,slide_step
64,330,376,step
65,0,30,twist
65,30,40,bounce
65,40,90,step
65,90,118,bounce
65,118,133,step
65,133,160,cabbage_patch
65,160,199,bounce
65,199,258,hands_up
65,258,265,bounce
65,265,297,slide_step
65,297,343,step
65,344,358,slide_step
66,0,30,twist
66,30,40,bounce
66,40,90,step
66,90,118,bounce
66,118,133,step
66,133,160,cabbage_patch
66,160,199,bounce
66,200,240,slide_step
66,241,300,hands_up
66,300,307,bounce
66,307,339,slide_step
66,339,385,step
67,0,30,twist
67,30,40,bounce
67,40,90,step
67,90,118,bounce
67,118,133,step
67,133,160,cabbage_patch
67,160,199,bounce
67,199,258,hands_up
67,258,265,bounce
67,265,297,slide_step
67,297,343,step
68,0,30,twist
68,30,40,bounce
68,40,90,step
68,90,118,bounce
68,119,142,twist
68,143,158,step
68,158,185,cabbage_patch
68,185,224,bounce
68,224,283,hands_up
68,283,290,bounce
68,290,322,slide_step
68,322,368,step
69,0,30,twist
69,30,40,bounce
69,40,90,step
69,90,118,bounce
69,119,143,hands_up
69,144,159,step
69,159,186,cabbage_patch
69,187,197,step
69,198,237,bounce
69,237,296,hands_up
69,297,313,bounce
69,313,345,slide_step
69,345,391,step
69,392,426,slide_step
70,0,30,twist
70,31,65,step
70,66,76,bounce
70,76,126,step
70,126,154,bounce
70,155,183,cabbage_patch
70,184,250,step
70,251,278,cabbage_patch
70,278,317,bounce
70,317,376,hands_up
70,377,416,bounce
70,416,448,slide_step
70,448,494,step
71,0,30,twist
71,31,52,bounce
71,52,102,step
71,103,125,half_squat
71,126,154,bounce
71,154,169,step
71,169,196,cabbage_patch
71,197,285,bounce
71,285,344,hands_up
71,344,351,bounce
71,351,383,slide_step
71,383,444,step
72,0,30,twist
72,31,102,bounce
72,102,152,step
72,152,180,bounce
72,180,195,step
72,195,222,cabbage_patch
72,222,261,bounce
72,262,315,step
72,316,375,hands_up
72,375,382,bounce
72,382,414,slide_step
72,415,425,half_squat
72,426,472,step
72,473,483,bounce
73,0,30,twist
73,30,40,bounce
73,40,90,step
73,90,118,bounce
73,118,133,step
73,134,169,slide_step
73,170,197,cabbage_patch
73,198,258,hands_up
73,259,298,bounce
73,299,323,step
73,324,383,hands_up
73,383,390,bounce
73,390,422,slide_step
73,422,468,step
73,469,489,bounce
74,0,38,bounce
74,39,87,step
74,88,120,hands_up
74,121,142,bounce
74,142,220,slide_step
74,221,299,step
74,300,308,bounce
75,0,38,bounce
75,38,70,hands_up
75,71,101,cabbage_patch
75,102,107,bounce
75,107,147,slide_step
75,148,156,bounce
75,157,235,step
75,236,246,bounce
76,0,38,bounce
76,38,70,hands_up
76,71,85,bounce
76,86,114,step
76,115,155,slide_step
76,156,166,bounce
76,167,245,step
76,246,271,bounce
77,0,38,bounce
77,38,70,hands_up
77,71,102,bounce
77,103,164,slide_step
77,165,185,twist
77,186,265,step
77,266,312,bounce
78,0,38,bounce
78,39,85,step
78,86,118,hands_up
78,119,135,bounce
78,136,166,hands_up
78,167,207,slide_step
78,208,316,step
78,317,327,bounce
79,0,38,bounce
79,38,70,hands_up
79,71,86,step
79,87,92,bounce
79,92,132,slide_step
79,133,258,step
79,259,286,cabbage_patch
80,0,38,bounce
80,39,79,slide_step
80,80,112,hands_up
80,113,127,bounce
80,128,144,cabbage_patch
80,145,185,slide_step
80,186,293,step
80,294,304,bounce
81,0,38,bounce
81,38,103,hands_up
81,104,109,bounce
81,110,125,step
81,126,166,slide_step
81,167,178,half_squat
81,179,257,step
81,258,268,bounce
82,0,38,bounce
82,38,70,hands_up
82,71,96,step
82,97,102,bounce
82,103,110,step
82,111,151,slide_step
82,152,157,bounce
82,158,236,step
82,237,252,hands_up
83,0,38,bounce
83,39,135,step
83,136,168,hands_up
83,169,274,step
83,275,280,bounce
83,280,320,slide_step
83,321,411,bounce
83,412,526,step
84,0,38,bounce
84,39,54,slide_step
84,55,87,hands_up
84,88,102,bounce
84,103,118,hands_up
84,119,159,slide_step
84,160,175,bounce
84,176,254,step
84,255,270,cabbage_patch
85,0,38,bounce
85,39,64,half_squat
85,65,97,hands_up
85,98,134,bounce
85,135,170,step
85,171,211,slide_step
85,212,396,step
85,397,437,twist
86,0,38,bounce
86,39,46,half_squat
86,47,79,hands_up
86,80,106,bounce
86,107,112,step
86,113,153,slide_step
86,154,179,bounce
86,180,258,step
86,259,264,bounce
87,0,38,bounce
87,38,70,hands_up
87,71,111,twist
87,112,117,bounce
87,118,223,step
87,224,264,slide_step
87,265,365,bounce
87,366,444,step
87,445,535,bounce
88,0,38,bounce
88,38,70,hands_up
88,71,87,bounce
88,87,127,slide_step
88,128,133,bounce
88,134,212,step
88,213,238,bounce
89,0,38,bounce
89,38,70,hands_up
89,71,137,bounce
89,137,177,slide_step
89,178,196,bounce
89,197,275,step
89,276,308,bounce
90,0,38,bounce
90,39,61,step
90,62,94,hands_up
90,95,105,step
90,106,111,bounce
90,111,151,slide_step
90,152,157,bounce
90,158,236,step
90,237,258,bounce
91,0,38,bounce
91,39,122,step
91,123,155,hands_up
91,156,216,cabbage_patch
91,217,222,bounce
91,222,262,slide_step
91,263,464,step
92,0,38,bounce
92,38,70,hands_up
92,71,148,twist
92,149,154,bounce
92,155,198,step
92,199,239,slide_step
92,240,336,step
92,337,348,half_squat
93,0,38,bounce
93,39,59,slide_step
93,60,92,hands_up
93,93,156,step
93,157,162,bounce
93,163,171,step
93,172,212,slide_step
93,213,243,cabbage_patch
93,244,322,step
93,323,335,bounce
94,0,38,bounce
94,38,70,hands_up
94,71,124,bounce
94,125,175,step
94,176,216,slide_step
94,217,235,twist
94,236,314,step
94,315,332,bounce
95,0,38,bounce
95,38,70,hands_up
95,71,141,step
95,142,147,bounce
95,147,187,slide_step
95,188,282,step
95,283,309,bounce
96,0,38,bounce
96,39,104,hands_up
96,105,121,bounce
96,122,229,slide_step
96,230,383,step
96,384,416,slide_step
97,0,38,bounce
97,39,134,twist
97,135,167,hands_up
97,168,196,bounce
97,197,207,step
97,208,248,slide_step
97,249,294,cabbage_patch
97,295,430,step
98,0,38,bounce
98,38,70,hands_up
98,71,83,slide_step
98,84,89,bounce
98,90,183,step
98,184,300,slide_step
98,301,379,step
99,0,38,bounce
99,38,70,hands_up
99,71,117,step
99,118,123,bounce
99,123,163,slide_step
99,164,180,twist
99,181,259,step
99,260,275,half_squat
100,0,38,bounce
100,38,70,hands_up
100,70,75,bounce
100,75,115,slide_step
100,115,226,step
101,0,38,bounce
101,39,53,slide_step
101,54,86,hands_up
101,86,91,bounce
101,91,131,slide_step
101,131,209,step
102,0,38,bounce
102,38,70,hands_up
102,71,111,slide_step
102,112,117,bounce
102,117,157,slide_step
102,157,235,step
103,0,38,bounce
103,38,70,hands_up
103,70,75,bounce
103,75,115,slide_step
103,115,193,step
104,0,38,bounce
104,38,70,hands_up
104,70,75,bounce
104,75,115,slide_step
104,115,193,step
104,194,217,twist
105,0,38,bounce
105,39,73,slide_step
105,74,131,hands_up
105,132,137,bounce
105,138,186,step
105,187,227,slide_step
105,228,318,step
105,319,327,bounce
106,0,38,bounce
106,39,56,slide_step
106,57,89,hands_up
106,90,124,step
106,125,130,bounce
106,131,146,step
106,147,187,slide_step
106,188,317,step
106,318,328,bounce
107,0,38,bounce
107,38,70,hands_up
107,71,93,half_squat
107,94,99,bounce
107,99,139,slide_step
107,140,155,twist
107,156,249,step
108,0,38,bounce
108,38,70,hands_up
108,71,91,cabbage_patch
108,92,97,bounce
108,97,137,slide_step
108,138,156,twist
108,157,235,step
108,236,328,bounce
109,0,38,bounce
109,39,74,slide_step
109,75,107,hands_up
109,108,169,bounce
109,170,194,step
109,195,235,slide_step
109,236,256,bounce
109,257,335,step
109,336,396,hands_up
110,0,52,bounce
110,52,68,step
110,68,114,bounce
110,114,125,half_squat
110,125,133,bounce
110,133,210,twist
110,210,220,bounce
110,220,263,step
110,263,283,bounce
110,283,300,step
110,301,309,bounce
110,310,338,cabbage_patch
110,338,378,bounce
110,378,426,hands_up
111,0,52,bounce
111,52,68,step
111,68,114,bounce
111,114,125,half_squat
111,125,133,bounce
111,133,210,twist
111,210,220,bounce
111,220,263,step
111,263,283,bounce
111,283,316,step
111,317,345,cabbage_patch
111,345,385,bounce
111,386,423,slide_step
111,424,472,hands_up
112,0,52,bounce
112,52,68,step
112,68,114,bounce
112,114,125,half_squat
112,126,163,slide_step
112,164,172,bounce
112,172,249,twist
112,249,259,bounce
112,259,302,step
112,303,314,half_squat
112,315,335,bounce
112,335,352,step
112,352,380,cabbage_patch
112,380,420,bounce
112,420,468,hands_up
113,0,52,bounce
113,53,82,step
113,82,128,bounce
113,128,139,half_squat
113,140,195,bounce
113,195,272,twist
113,272,282,bounce
113,282,325,step
113,325,345,bounce
113,345,362,step
113,362,390,cabbage_patch
113,390,430,bounce
113,430,478,hands_up
114,0,52,bounce
114,52,68,step
114,68,114,bounce
114,114,125,half_squat
114,126,157,bounce
114,157,234,twist
114,234,244,bounce
114,244,287,step
114,287,307,bounce
114,307,324,step
114,324,383,cabbage_patch
114,384,424,bounce
114,424,472,hands_up
115,0,52,bounce
115,52,68,step
115,68,114,bounce
115,114,125,half_squat
115,125,133,bounce
115,133,210,twist
115,211,229,bounce
115,229,272,step
115,272,292,bounce
115,292,309,step
115,309,337,cabbage_patch
115,337,377,bounce
115,377,425,hands_up
116,0,52,bounce
116,52,83,step
116,84,130,bounce
116,130,141,half_squat
116,141,149,bounce
116,149,226,twist
116,226,236,bounce
116,236,279,step
116,280,296,cabbage_patch
116,297,317,bounce
116,317,334,step
116,334,362,cabbage_patch
116,362,402,bounce
116,402,450,hands_up
117,0,52,bounce
117,52,68,step
117,69,156,bounce
117,156,167,half_squat
117,167,175,bounce
117,175,252,twist
117,252,262,bounce
117,262,305,step
117,305,325,bounce
117,325,342,step
117,342,370,cabbage_patch
117,370,410,bounce
117,410,458,hands_up
118,0,52,bounce
118,52,68,step
118,68,114,bounce
118,114,125,half_squat
118,125,133,bounce
118,133,210,twist
118,210,220,bounce
118,220,263,step
118,263,283,bounce
118,284,380,step
118,380,408,cabbage_patch
118,408,448,bounce
118,448,497,hands_up
119,0,52,bounce
119,52,68,step
119,68,114,bounce
119,114,125,half_squat
119,125,133,bounce
119,133,210,twist
119,210,220,bounce
119,220,263,step
119,263,283,bounce
119,284,299,cabbage_patch
119,300,317,step
119,317,345,cabbage_patch
119,345,385,bounce
119,385,433,hands_up
119,434,449,slide_step
120,0,52,bounce
120,52,68,step
120,68,114,bounce
120,114,125,half_squat
120,125,133,bounce
120,133,210,twist
120,210,220,bounce
120,220,263,step
120,263,283,bounce
120,283,300,step
120,300,328,cabbage_patch
120,328,368,bounce
120,368,416,hands_up
121,0,52,bounce
121,52,68,step
121,68,114,bounce
121,114,125,half_squat
121,125,133,bounce
121,133,210,twist
121,210,220,bounce
121,220,263,step
121,264,305,bounce
121,305,322,step
121,322,350,cabbage_patch
121,351,407,bounce
121,407,455,hands_up
122,0,52,bounce
122,52,68,step
122,68,114,bounce
122,114,125,half_squat
122,125,133,bounce
122,133,210,twist
122,210,220,bounce
122,221,290,step
122,290,310,bounce
122,310,327,step
122,327,355,cabbage_patch
122,355,395,bounce
122,395,443,hands_up
123,0,52,bounce
123,52,68,step
123,68,114,bounce
123,114,125,half_squat
123,126,152,step
123,153,161,bounce
123,161,238,twist
123,238,248,bounce
123,248,291,step
123,291,311,bounce
123,311,328,step
123,328,356,cabbage_patch
123,356,396,bounce
123,396,444,hands_up
124,0,52,bounce
124,52,68,step
124,69,216,bounce
124,216,227,half_squat
124,227,235,bounce
124,235,312,twist
124,312,322,bounce
124,323,472,step
124,472,492,bounce
124,492,509,step
124,509,537,cabbage_patch
124,537,577,bounce
124,577,625,hands_up
125,0,52,bounce
125,52,68,step
125,68,114,bounce
125,114,125,half_squat
125,125,133,bounce
125,133,210,twist
125,210,220,bounce
125,220,263,step
125,263,283,bounce
125,283,300,step
125,300,328,cabbage_patch
125,328,368,bounce
125,368,416,hands_up
126,0,52,bounce
126,52,68,step
126,69,184,bounce
126,184,195,half_squat
126,195,203,bounce
126,203,280,twist
126,280,290,bounce
126,290,333,step
126,333,353,bounce
126,353,370,step
126,370,398,cabbage_patch
126,398,438,bounce
126,438,486,hands_up
127,0,52,bounce
127,52,68,step
127,68,114,bounce
127,114,125,half_squat
127,125,133,bounce
127,133,210,twist
127,210,220,bounce
127,220,263,step
127,263,283,bounce
127,284,299,hands_up
127,300,317,step
127,317,345,cabbage_patch
127,346,356,step
127,357,397,bounce
127,397,445,hands_up
128,0,52,bounce
128,52,68,step
128,68,114,bounce
128,114,125,half_squat
128,125,133,bounce
128,133,210,twist
128,210,220,bounce
128,220,263,step
128,263,283,bounce
128,283,300,step
128,301,321,bounce
128,322,350,cabbage_patch
128,350,390,bounce
128,390,499,hands_up
129,0,52,bounce
129,52,68,step
129,68,114,bounce
129,114,125,half_squat
129,125,133,bounce
129,134,197,step
129,198,275,twist
129,275,285,bounce
129,285,328,step
129,328,348,bounce
129,349,375,step
129,375,403,cabbage_patch
129,403,443,bounce
129,443,491,hands_up
130,0,52,bounce
130,52,68,step
